rn1q1bnr/ppp3pp/4Q3/2k5/2NpP3/8/PPPP1PPP/RNB1K2R b KQkq - 0 9,F8D6
rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,B8C6
rnbqkbnr/ppp2pp1/8/3Bp1N1/3PP2p/8/PPP2PPP/RNBQK2R b KQkq - 0 6,G8H6
r1bqkbnr/2pp1ppp/p1n5/1p2p3/4P3/1B3N2/PPPP1PPP/RNBQK2R b KQkq - 1 5,G8F6
r1bqkbnr/ppppnppp/8/3Pp3/4P3/2N5/PPP2PPP/R1BQKBNR w KQkq - 1 1,B1C3
r1bqkbnr/ppppnppp/8/3Pp3/4P3/2N5/PPP2PPP/R1BQKBNR w KQkq - 1 1,B1C3
