  .222,-84.994,5.78, 298.5,""
  .223, 26.987,6.24, 131.4,""
  .225, 41.035,5.71,  34.9,""
  .228,-26.023,5.94,396.82,""
  .228,-26.285,6.14,265.25,""
  .229,-48.685,6.97,105.59,""
  .229,-23.215,6.86,156.73,""
  .229,  1.383,6.79,251.88,""
  .232, 59.999,6.91,387.59,""
  .233, 33.206,6.22,103.19,""
  .234, 76.027,7.17,273.22,""
  .234,-74.913,6.97,355.87,""
  .237,-55.070,6.66,  45.2,""
  .239,-62.772,6.63,396.82,""
  .239,-21.197,6.89, 55.49,""
  .241, -7.781,5.13,178.57,""
  .241,-14.432,6.95, 74.79,""
  .242, 41.032,6.68, 199.6,""
  .243, 20.206,4.79,112.86,""
  .244,-18.933,4.44,137.17,""
  .244,-14.806,6.63,123.91,""
  .246,-14.178,6.82, 88.88,""
  .248, -9.570,5.77,103.84,""
  .248, -3.028,6.64,203.66,""
  .248, 22.284,6.25,140.84,""
  .249,-34.905,6.17,194.55,""
  .249,  8.820,6.02, 77.76,""
  .251, 31.535,6.34,286.53,""
  .252, 27.283,6.35,135.13,""
  .254, 44.203,6.76,331.12,""
  .260,  5.843,6.98,174.52,""
  .265, 61.000,6.43,132.97,""
  .265,-75.912,6.49,189.39,""
  .269,-31.447,5.66, 152.2,""
  .269,-79.852,6.59, 17.49,""
  .270, 76.950,6.35, 192.3,""
  .272, 43.595,6.12,106.49,""
  .273,-70.393,7.18,193.05,""
  .276,  8.240,6.12,   125.0,""
  .277,  1.850,6.98,245.09,""
  .278,-32.689,6.67,149.47,""
  .278,-20.211,6.50,182.81,""
  .278, 36.629,6.99,126.42,""
  .279, 10.244,6.51,306.74,""
  .280,-78.781,6.78,104.82,""
  .281,-52.652,6.84, 22.59,""
  .281, 49.461,6.52,526.31,""
  .281, 23.256,6.95,157.72,""
  .282, 61.533,5.74,190.11,""
  .284, 84.955,7.80,213.21,""
  .284, 38.681,4.61, 94.69,""
  .285, 47.947,5.86,343.64,""
  .290,  8.876,6.66, 15.18,""
  .292,-19.052,6.46, 48.49,""
  .295, 51.433,6.11,735.29,""
  .296,  1.688,6.19,117.37,""
  .297, 20.226,6.91,543.47,""
  .298, 12.771,6.54,143.67,""
  .299,-13.456,6.51, 27.21,""
  .302, 46.214,6.83,204.91,""
  .304,-21.139,6.69,181.81,""
  .304, 11.206,6.07,153.84,""
  .305,-36.510,6.67,216.45,""
  .305, 36.785,4.51, 41.32,""
  .306, 83.367,8.19,   813.0,""
  .307, 76.276,7.18,206.61,""
  .307, 62.202,6.97,342.46,""
  .310, 31.517,5.88,166.66,""
  .311, -8.054,6.47, 23.24,""
  .311, 43.791,6.10,202.83,""
  .311,-43.236,6.33,112.48,""
  .321, 73.122,7.31,333.33,""
  .323, -8.824,3.56, 84.17,""
  .328, 40.729,6.35,175.13,""
  .330, -2.479,6.96,101.83,""
  .332, 16.250,6.60, 162.6,""
  .333, 38.227,6.97, 24.79,""
  .334,-64.875,4.23,  8.58,""
  .334,-17.701,6.73,224.71,""
  .334,  6.292,6.81,   813.0,""
  .334, 48.865,6.53,210.97,""
  .336,-13.062,6.85,162.86,""
  .340, 30.935,5.89,159.74,""
  .341, 48.968,6.46,218.34,""
  .342, 56.556,6.73,160.51,""
  .343,  8.190,5.38,   125.0,""
  .344,-69.625,5.50, 97.56,""
  .345, 61.879,6.80,100000.0,""
  .345, 32.911,5.79,191.93,""
  .346,-23.631,6.78,139.86,""
  .348, 32.978,6.90, 67.93,""
  .348, 10.976,6.57,310.55,""
  .351, -2.910,6.92,  80.9,""
  .352, 37.968,5.16, 48.54,""
  .357,-77.427,5.96,174.82,""
  .358,-28.982,5.18,101.31,""
  .359, 38.187,6.86,147.71,""
  .361, 67.823,6.55,175.74,""
  .362,-20.059,5.61,270.27,""
  .372,-50.993,6.68,  91.4,""
  .373, 13.482,6.25,153.84,""
  .380,-39.263,6.75, 78.06,""
  .380, 29.454,6.95,116.55,""
  .381,-12.210,6.39, 20.86,""
  .382, 38.754,6.69,257.73,""
  .384,-15.943,6.43,337.83,""
  .386,-31.036,6.55,172.71,""
  .389,-29.848,6.81,230.41,""
  .398, 60.961,6.57, 54.55,""
  .401, 44.264,6.66,153.84,""
  .404, 52.019,5.58,306.74,""
  .408, -2.220,6.08,151.74,""
  .410, 14.315,6.48, 180.5,""
  .411, 31.373,6.76,165.56,""
  .412,-51.044,6.81, 34.89,""
  .413, 61.831,5.38,215.05,""
  .413,-18.472,6.90,355.87,""
  .418, 53.046,5.72,158.22,""
  .422,-39.261,6.91,117.37,""
  .423,  1.939,5.77,144.09,""
  .427,-77.255,2.82,  7.45,""
  .428, 54.994,6.78,100000.0,""
  .428,  7.691,6.77,224.71,""
  .429,-27.711,6.88,172.41,""
  .430, 71.807,6.91,980.39,""
  .434, 20.146,6.67,261.78,""
  .436, 56.779,6.71,180.18,""
  .436,-43.680,3.93,  23.8,""
  .437,  3.825,6.90,341.29,""
  .438,-42.306,2.40, 25.97,"Ankaa"
  .439,-18.694,6.24,483.09,""
  .439, 49.048,6.94,442.47,""
  .443,  -.050,6.16,138.31,""
  .444, 56.641,6.58,178.57,""
  .444,-69.308,6.98, 299.4,""
  .447,-83.140,8.03,106.49,""
  .451, 25.042,6.66,  77.1,""
  .452, 80.052,6.53,158.47,""
  .453, 49.985,6.95,248.13,""
  .454,-25.548,5.99,176.05,""
  .458, 16.025,6.44,117.23,""
  .460,-20.135,6.78,110.01,""
  .465,-33.008,4.86, 138.5,""
  .466, 19.514,6.40,172.11,""
  .467, 17.893,5.01,162.07,""
  .470, 16.445,6.05,233.64,""
  .470, 44.394,5.18, 86.65,""
  .470,-29.041,6.75, 119.9,""
  .472, 10.189,6.05, 36.54,""
  .472,-20.336,6.44, 32.19,""
  .474,-39.916,5.42, 115.2,""
  .474, 32.437,6.87,221.72,""
  .475,-11.238,6.86, 69.15,""
  .478,-50.533,6.26,125.31,""
  .482, 36.899,6.28,162.07,""
  .489,-40.666,6.82,324.67,""
  .491, -3.470,6.95,281.69,""
  .494, -2.841,6.89,210.97,""
  .496,-32.116,6.59,182.48,""
  .497,-14.865,6.15, 42.75,""
  .500, -3.958,5.72,173.91,""
  .502, 29.751,5.20, 62.77,""
  .502,  4.860,6.52,  65.1,""
  .505, 59.977,5.94,235.84,""
  .506,-23.788,5.17,  53.1,""
  .507,-48.215,5.67, 43.08,""
  .507,-40.940,6.18,129.53,""
  .508,-39.519,6.60,123.15,""
  .513, 16.037,6.83,105.82,""
  .514, 81.375,8.15,149.25,""
  .515, 77.019,6.18,  38.5,""
  .516,-10.085,6.86, 148.8,""
  .517, 55.702,6.57,137.55,""
  .520, 43.946,6.76,403.22,""
  .523,-48.804,4.76, 52.96,""
  .523, 66.519,6.18, 233.1,""
  .523, 33.581,5.88,116.14,""
  .525,-62.959,4.36,  41.4,""
  .525,-62.966,4.53, 51.65,""
  .526, 16.020,6.89,244.49,""
  .527,  9.161,6.99,507.61,""
  .528, 52.839,5.59,116.82,""
  .529, 54.522,4.74,115.74,""
  .531, 19.642,6.87,333.33,""
  .536, 53.815,6.94,917.43,""
  .537, 34.993,6.74, 95.96,""
  .539,  6.955,5.69, 80.97,""
  .540, 43.494,6.69,220.75,""
  .541, 51.728,6.94,349.65,""
  .542, 18.794,6.79,211.86,""
  .542, 27.580,6.68,296.73,""
  .543, 20.294,5.38,    80.0,""
  .544,-25.360,6.72,133.68,""
  .544, 23.193,6.84,137.74,""
  .545, 38.843,6.90,210.52,""
  .545,-63.032,5.07, 45.55,""
  .546, 54.119,6.91,276.24,""
  .546, 28.280,6.26,158.47,""
  .548, 16.167,6.90, 111.6,""
  .549, 62.931,4.17,100000.0,""
  .552, 54.894,5.93,114.15,""
  .555, 70.981,6.41,151.74,""
  .556,-71.267,6.11,130.03,""
  .561,-29.559,5.55,165.01,""
  .562,-35.003,6.41, 33.11,""
  .569, 10.299,6.76,168.91,""
  .572,-42.432,6.88,148.36,""
